"","site_nr","observed","predicted","DD","relative_DD","predicted.nogenus","DD.nogenus","relative_DD.nogenus"
"1","1",39,2446,2407,0.984055600981194,322,283,0.87888198757764
"2","10",41,438,397,0.906392694063927,117,76,0.64957264957265
"3","100",158,3616,3458,0.956305309734513,876,718,0.819634703196347
"4","101",101,3316,3215,0.969541616405308,1017,916,0.900688298918387
"5","102",7,184,177,0.96195652173913,48,41,0.854166666666667
"6","103",0,124,124,1,20,20,1
"7","104",40,1748,1708,0.977116704805492,666,626,0.93993993993994
"8","105",120,3285,3165,0.963470319634703,798,678,0.849624060150376
"9","106",78,1874,1796,0.95837780149413,383,305,0.796344647519582
"10","107",118,2216,2098,0.946750902527076,488,370,0.758196721311475
"11","108",43,1772,1729,0.975733634311512,181,138,0.762430939226519
"12","109",63,1750,1687,0.964,361,298,0.825484764542936
"13","11",54,1216,1162,0.955592105263158,134,80,0.597014925373134
"14","110",103,1959,1856,0.947422154160286,356,253,0.710674157303371
"15","111",44,1928,1884,0.977178423236514,297,253,0.851851851851852
"16","112",41,3124,3083,0.986875800256082,830,789,0.950602409638554
"17","113",108,3189,3081,0.966133584195673,757,649,0.857331571994716
"18","114",180,3432,3252,0.947552447552448,1044,864,0.827586206896552
"19","115",3,749,746,0.995994659546061,148,145,0.97972972972973
"20","116",126,3419,3293,0.963147119040655,993,867,0.873111782477341
"21","117",134,2384,2250,0.943791946308725,739,605,0.818673883626522
"22","118",95,1556,1461,0.938946015424165,609,514,0.844006568144499
"23","119",80,2520,2440,0.968253968253968,437,357,0.816933638443936
"24","12",75,2724,2649,0.972466960352423,520,445,0.855769230769231
"25","120",23,949,926,0.975763962065332,157,134,0.853503184713376
"26","121",96,2512,2416,0.961783439490446,472,376,0.796610169491525
"27","122",29,1776,1747,0.983671171171171,527,498,0.944971537001898
"28","123",64,2005,1941,0.968079800498753,543,479,0.882136279926335
"29","124",9,274,265,0.967153284671533,109,100,0.917431192660551
"30","125",14,308,294,0.954545454545455,98,84,0.857142857142857
"31","126",110,2343,2233,0.953051643192488,636,526,0.827044025157233
"32","127",67,2477,2410,0.972951150585386,412,345,0.837378640776699
"33","128",55,1335,1280,0.958801498127341,394,339,0.860406091370558
"34","129",26,108,82,0.759259259259259,47,21,0.446808510638298
"35","13",150,3665,3515,0.959072305593452,1036,886,0.855212355212355
"36","130",89,2683,2594,0.966828177413343,525,436,0.83047619047619
"37","14",21,1553,1532,0.986477784932389,73,52,0.712328767123288
"38","15",37,1771,1734,0.979107848673066,136,99,0.727941176470588
"39","16",38,165,127,0.76969696969697,61,23,0.377049180327869
"40","17",116,3354,3238,0.96541443053071,753,637,0.845949535192563
"41","18",38,2441,2403,0.984432609586235,348,310,0.890804597701149
"42","19",95,2352,2257,0.959608843537415,432,337,0.780092592592593
"43","2",32,2771,2739,0.98845182244677,691,659,0.953690303907381
"44","20",92,3033,2941,0.969666996373228,524,432,0.824427480916031
"45","21",90,2612,2522,0.965543644716692,556,466,0.838129496402878
"46","22",106,2984,2878,0.964477211796247,843,737,0.874258600237248
"47","23",101,2852,2751,0.964586255259467,804,703,0.874378109452736
"48","24",151,3030,2879,0.95016501650165,779,628,0.806161745827985
"49","25",35,2012,1977,0.982604373757455,594,559,0.941077441077441
"50","26",63,2296,2233,0.972560975609756,351,288,0.82051282051282
"51","27",52,1826,1774,0.971522453450164,127,75,0.590551181102362
"52","28",34,2693,2659,0.98737467508355,230,196,0.852173913043478
"53","29",0,184,184,1,31,31,1
"54","3",6,1182,1176,0.99492385786802,99,93,0.939393939393939
"55","30",59,2478,2419,0.976190476190476,578,519,0.897923875432526
"56","31",101,2440,2339,0.958606557377049,386,285,0.738341968911917
"57","32",107,2904,2797,0.963154269972452,449,342,0.761692650334076
"58","33",96,2314,2218,0.958513396715644,444,348,0.783783783783784
"59","34",26,282,256,0.907801418439716,99,73,0.737373737373737
"60","35",59,3046,2987,0.980630334865397,646,587,0.908668730650155
"61","36",3,1167,1164,0.997429305912596,36,33,0.916666666666667
"62","37",44,1313,1269,0.966488956587967,156,112,0.717948717948718
"63","38",90,2631,2541,0.965792474344356,628,538,0.856687898089172
"64","39",69,2506,2437,0.972466081404629,336,267,0.794642857142857
"65","4",4,97,93,0.958762886597938,20,16,0.8
"66","40",6,187,181,0.967914438502674,59,53,0.898305084745763
"67","41",55,1197,1142,0.954051796157059,114,59,0.517543859649123
"68","42",17,2268,2251,0.992504409171076,153,136,0.888888888888889
"69","43",65,2801,2736,0.976794002142092,463,398,0.859611231101512
"70","44",59,2249,2190,0.973766118274789,637,578,0.907378335949764
"71","45",35,1775,1740,0.980281690140845,148,113,0.763513513513513
"72","46",102,3185,3083,0.967974882260597,890,788,0.885393258426966
"73","47",108,3063,2955,0.964740450538688,684,576,0.842105263157895
"74","48",106,2821,2715,0.962424672102091,446,340,0.762331838565022
"75","49",118,3547,3429,0.966732449957711,932,814,0.873390557939914
"76","5",85,2577,2492,0.967015909972837,286,201,0.702797202797203
"77","50",75,2796,2721,0.973175965665236,647,572,0.884080370942813
"78","51",121,1659,1538,0.92706449668475,698,577,0.826647564469914
"79","52",59,2459,2400,0.976006506710045,498,439,0.881526104417671
"80","53",64,515,451,0.875728155339806,106,42,0.39622641509434
"81","54",1,128,127,0.9921875,30,29,0.966666666666667
"82","55",74,3381,3307,0.978112984324164,803,729,0.907845579078456
"83","56",80,2460,2380,0.967479674796748,429,349,0.813519813519814
"84","57",110,2852,2742,0.961430575035063,551,441,0.800362976406534
"85","58",40,700,660,0.942857142857143,138,98,0.710144927536232
"86","59",115,3313,3198,0.965288258376094,817,702,0.859241126070991
"87","6",22,136,114,0.838235294117647,44,22,0.5
"88","60",34,1846,1812,0.981581798483207,176,142,0.806818181818182
"89","61",29,2334,2305,0.987574978577549,344,315,0.915697674418605
"90","62",24,213,189,0.887323943661972,35,11,0.314285714285714
"91","63",28,1519,1491,0.981566820276498,93,65,0.698924731182796
"92","64",23,305,282,0.924590163934426,105,82,0.780952380952381
"93","65",12,2221,2209,0.994597028365601,443,431,0.972911963882618
"94","66",44,2153,2109,0.979563399907106,648,604,0.932098765432099
"95","67",78,3404,3326,0.977085781433607,822,744,0.905109489051095
"96","68",39,3261,3222,0.988040478380865,702,663,0.944444444444444
"97","69",97,2891,2794,0.966447595987548,606,509,0.83993399339934
"98","7",34,2847,2813,0.988057604495961,787,753,0.956797966963151
"99","70",109,3414,3305,0.968072642062097,710,601,0.846478873239437
"100","71",104,3344,3240,0.9688995215311,1047,943,0.900668576886342
"101","72",89,2777,2688,0.967951026287361,832,743,0.893028846153846
"102","73",24,320,296,0.925,154,130,0.844155844155844
"103","74",23,941,918,0.975557917109458,517,494,0.955512572533849
"104","75",18,2614,2596,0.993114001530222,588,570,0.969387755102041
"105","76",91,2857,2766,0.968148407420371,626,535,0.854632587859425
"106","77",64,3363,3299,0.980969372584002,826,762,0.922518159806295
"107","78",73,2980,2907,0.975503355704698,656,583,0.888719512195122
"108","79",71,1282,1211,0.944617784711388,213,142,0.666666666666667
"109","8",29,1799,1770,0.983879933296276,110,81,0.736363636363636
"110","80",74,1751,1677,0.957738435179897,123,49,0.398373983739837
"111","81",115,2776,2661,0.9585734870317,552,437,0.791666666666667
"112","82",110,3091,2981,0.9644128113879,973,863,0.886947584789311
"113","83",71,2435,2364,0.970841889117043,457,386,0.844638949671772
"114","84",16,1863,1847,0.991411701556629,260,244,0.938461538461538
"115","85",111,2458,2347,0.954841334418226,450,339,0.753333333333333
"116","86",96,3496,3400,0.97254004576659,839,743,0.885578069129917
"117","87",114,3285,3171,0.965296803652968,971,857,0.88259526261586
"118","88",79,894,815,0.911633109619687,340,261,0.767647058823529
"119","89",92,2609,2517,0.964737447297815,622,530,0.852090032154341
"120","9",65,3315,3250,0.980392156862745,700,635,0.907142857142857
"121","90",47,2619,2572,0.982054219167621,357,310,0.868347338935574
"122","91",52,1351,1299,0.961509992598075,171,119,0.695906432748538
"123","92",29,2068,2039,0.985976789168279,575,546,0.949565217391304
"124","93",54,1363,1309,0.960381511371974,229,175,0.764192139737991
"125","94",116,1067,951,0.891283973758201,318,202,0.635220125786163
"126","95",28,547,519,0.948811700182815,151,123,0.814569536423841
"127","96",133,2678,2545,0.950336071695295,606,473,0.78052805280528
"128","97",115,2664,2549,0.956831831831832,589,474,0.804753820033956
"129","98",136,2742,2606,0.950401167031364,577,441,0.764298093587522
"130","99",143,3541,3398,0.959615927704038,1014,871,0.858974358974359
